,Date,B.FAST,LUNCH,Snacks, DINNER,Assorted Flakes,Seasonal Fruits,Egg,Main 1,Main 2,Accompaniment,Bread,Beverage1 ,Beverage2,Beverage/Soup,Salad,Veg,Gravy Veg/Dal,Paneer,Non Veg,Accompaniment.1,Rice,Bread.1,Dessert,Evening Snacks,Main,Accompaniment.2,Beverage1 .1,Beverage2.1,Beverage/Soup.1,Salad.1,Veg.1,Non Veg.1,Gravy Veg/Dal.1,Accompaniment.3,Rice.1,Bread.2,Dessert.1,Seasonal Fruit,Main1,Main2,Beverage1,Dry Veg,Gravy Veg/ Dal,Mouth Freshner,Beverage 1,Beverage 2,Gravy Veg/ Dal.1,Mouth Freshner.1,Unnamed: 36,Unnamed: 37,Combo,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,lunch,Unnamed: 35,Unnamed: 34
10,20-05-2023,122,178,89,113,Cornflakes,Apple,Chana Chat,Masala Dosa,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Orange tang,Green Salad,Mix Veg,Dal Makhani,,,"Papad, Pickle, Gud", Rice,Parantha,Shahi Tukda,,Kachori,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Lemonade,Three Beans Salad,Jeera Aaloo,,Kadhi pakoda,"Papad, Pickle, Gud",Plain Rice,Plain Roti,,,,,,,,,,,,,,,"Green Thai Curry, Rice",,,,,,,,
11,21-05-2023,107,123,134,151,Chocos,Musk melon,veg oats,Chhole Bhature,"Papad Pickle, Gud",Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet lassi,Green Salad,Aloo Palak,Malai Kofta,,,"Papad Pickle, Gud",Rice,Roti,,,Gol-gappe,Sweet Chutney/ Green Chutney,Orange Tang,Hot & Cold Milk,Masala Chaach,Green Salad,Baigan bharta,,Palak Corn,"Papad, Pickle, Gud",Plain Rice,Roti,Thandi Kesar Kheer,,,,,,,,,,,,,,Burger and French Fries,,,,,,,,
12,05-06-2023,75,115,50,85,Chocos,Muskmelon,Sprouts,Mix veg prantha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemonade,Green Salad,Ghiya chana veg,,Black masur dal,,"Papad, Pickle, Gud",Zeera Rice,Plain Roti,Fruit Custard,,,"Oregano, Chili Flakes, Ketchup",Lemon Iced Tea,Hot & Cold Milk,Orange tang,Green Salad,Veg meloni,,Yellow dal tadka,"Papad, Pickle, Gud",Plain rice,Roti,,,,,,,,,,,,,,,"Matar paneer, lachha paratha",,,,,,Sphagetti Red Sauce Pasta,"Achar, papad, chutney",
13,07-06-2023,84,121,74,98,Chocos,Watermelon,chana chat, ,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemon tang,Green Salad,Mix Veg,Green moong dal,,,"Papad, Pickle, Gud", Rice,Roti,,,Homestyle macroni,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Cream Tomato Soup,Sauteed assorted Veg,Red Sauce Pasta,,Cajun Potatoes in White Sauce,"Oregano, Chili Flakes",Fried Rice,Cheese Garlic Bread,Pastry,,,,,,,,,,,,,,,,,,,,,,
14,09-06-2023,73,104,62,59,Wheatflakes,,Sprouts,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and Cold Milk,Sweet n sour lassi,Sirka onion,Aloo gajar matar,,,,Papad/Pickle/jaggery,Tehri,Bedmi poori,Makhana kheer,,Dahi bhalla chaat,Red & green chutney,,,Orange tang,Onion Rings,,,,Papad/Pickle/jaggery,Rice,Roti,,Apple,Alu bhaji,poori,Adrak Elaichi Masala Tea,Spicy potato sabzi,Amritsari choley,,Hot and Cold Milk,Adrak Elaichi Masala Tea,black masur dal,,,,,,,,,,,,
15,19-06-2023,249,294,461,272,Cornflakes,Watermelon,BOILED EGGS,Mix Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Veg Raita,Onion Rings,,Dal punjabi,Kadhai paneer,Chicken do pyaza,"Papad, Pickle, Gud",Plain Rice,Tandoori Butter Naan,Icecream,,Dahi bhalla,Ketchup,Shikanji,Hot & Cold Milk,Masala Chaach,Three Beans Salad,Stuffed capsicum,,Black chana,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
16,20-06-2023,256,327,493,306,Wheatflakes,Apple,sprouts,Uttapam,"Sambhaar, Coconut chutney",Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Masala Chaach,Three Beans Salad,Ghiya chana dal,Dal Maharani,,,Fried Papad,Rice,Plain Roti,rice kheer,,Veg patty,Green / Red sweet chutney,Rooh Afza in Water,Hot & Cold Milk,Bhurani raita,Green Salad,White chana,Matar mushroom,,,"Papad Pickle, Gud",Rice,Roti,,,,,,,,,,,,,,,,,,,,,,
17,21-06-2023,227,325,476,255,Chocos,Banana,BOILED EGGS,Gobhi Aloo Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemon tang,Green Salad,Alu began,Rajma Raseela,,,"Papad, Pickle, Gud", Rice,Roti,Gulabjamun,,Veg Sandwich,Tomato Ketchup,Masala Tea,Hot & Cold Milk,mango tang,Green Salad,baigan bharta,,Dal panchratni,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
18,22-06-2023,241,296,474,260,Wheatflakes,Mango,Channa chat,Idli ,"Sambhaar, Coconut chutney",Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Shikanji,Green Salad,Zeera Aalu,Kadhi pakoda,,,"Papad, Pickle, Gud",Plain rice,Plain Roti,Moong dal halwa,,Samosa,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Boondi Raita,Green Salad,Ghiya kofta,,Daal Punjabi,"Papad, Pickle, Gud",Veg Biryani,Roti,,,,,,,,,,,,,,,,,,,,,,,
19,23-06-2023,239,302,459,266,Chocos,Watermelon,BOILED EGGS,Alu Pyaaz Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Onion rings,,Arhar Daal,Paneer Mewari,Chciken pahari,"Papad, Pickle, Gud", Peas pulao,Tandoori garlic naan,Popsicle,,white sauce pasta,"Oregano, Chili Flakes",Masala tea,Hot & Cold Milk,Curd,Green Salad,Tawa veg,,Dal Makhni,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
20,24-06-2023,228,281,469,225,Cornflakes,Apple,veg oats,Veggie Suji Chilla,"Sambhaar, Coconut chutney",Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Masala Lemonade,Spicy onion rings,Gol Gappa,Bhalla Papdi Chaat,Chana Bhatura,Hakka Noodles,French Fries,,,Ice candy,,Alu tikki chaat,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Lemonade,Three Beans Salad,Alu matar,,bhindi masala,"Papad, Pickle, Gud",Plain Rice,Plain Roti,,,,,,,,,,,,,,,,,,,,,,,
21,25-06-2023,201,69,39,37,Chocos,Musk melon,Omelette,chana,puri,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Cream Tomato Soup,Sauteed veg,Red Sauce Pasta,,Cajun Potatoes in White Sauce,"Oregano, Chili Flakes",Fried Rice,Cheese Garlic Bread,,,,bread roll,Sauce and Red Chutney,Masala Tea,Hot & Cold Milk,Masala Chaach,Green Salad,Kathal masala,,Arhar dal,"Papad, Pickle, Gud",Plain Rice,Roti,Popsicles,,,,,,,,,,,,,,,,,,,,,,
22,26-06-2023,47,105,60,80,Wheatflakes,Banana,Omelette,"Aloo Poha, Indori Sev",Red & Green Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Onion Rings,,Dal Fry,Kadhai Paneer,CHIKEN PAHADI,"Papad, Pickle, Gud",Jeera Rice,Parantha,Icecream,,Mix Fruits,Chaat Masala,Masala Tea,Hot & Cold Milk,Lemonade,Three Beans Salad,Bhindi masala,,Arhar Dal,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
23,27-06-2023,37,78,57,74,Cornflakes,Apple,chana chat,Aloo Pyaaz Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemonade,Green salad,black chana ,Alu capsicum,,,"Papad, Pickle, Gud",Rice,Roti,Phirni,,Corn Sandwich,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Mango tang,Green Salad,Mixed Vegetables,, Rajma Masala,"Papad, Pickle, Gud",Plain Rice,roti,,,,,,,,,,,,,,,,,,,,,,,
24,28-06-2023,58,92,59,71,Chocos,Mango ,Omellete,veg Oats,Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Cucumber raita,"Tomatoes, Onion Rings",,Dal Fry,Cheese Tomato,MURG MAKHNI,"Papad, Pickle, Gud",Plain Rice,Garlic Naan,Gulab Jamun,,Sphagetti pasta,Tomato Ketchup,Iced tea,Hot & Cold Milk,Sweet Lassi,Green Salad,ALOO MATTAR,,Dal Fry,"Papad, Pickle, Gud",Jeera Rice,Plain Roti,,,,,,,,,,,,,,,,,,,,,,,
25,29-06-2023,49,62,51,55,Chocos,Watermelon,Sprouts,Gobhi Aloo Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Sprouts,Masala Chaas,Three Beans Salad,VADA,Sambhar,Coconut Chutney,IDLI,Fried Papad,Lemon Rice,,Sweet Pongol,,Cocktail Samosa,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Lemon Tang,Sauteed veg,Red Sauce Pasta,,Cajun Potatoes in White Sauce,"Oregano, Chili Flakes",Fried Rice,Cheese Garlic Bread,,,,,,,,,,,,,,,,,,,,,,,
26,30-06-2023,41,83,60,51,Cornflakes,Apple,Omelette,idli,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Boondi Raita,Channa Chaat,,Dal Makhani,Paneer Pasanda, Chicken Lababdar,"Papad, Pickle, Gud",Rice,Garlic Naan,,,Veg cutlet,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Shikanji,Green Salad,Jeera Aloo,,Kadhi Pakora,"Papad, Pickle, Gud",Plain Rice,Roti,Thandi Kesar Kheer,,,,,,,,,,,,,,,,,,,,,,
27,05-07-2023,81,100,60,73,Wheatflakes,Mango,Omelette,idli,sambhar/Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Plain lassi,Green Salad, Aloo bhaji,Dal bukhara,,,"Chutney, Pickle, Gud",Plain Rice,Parantha,,,,Green / Red sweet chutney,Masala Tea,Hot & Cold Milk,Curd,Green Salad,Navratan Korma,,Dal Fry,"Papad, Pickle, Gud",Jeera Rice,Laccha Paratha,Brownie,,,,,,,,,,,,,,"Veg biryani, Salan, raita",,,,,,Dahi bhalla,"Achar, papad",
28,07-07-2023,40,87,54,77,Cornflakes,Apple,boiled egg,Masala Dosa,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Kesar Lassi,"Tomatoes, Pickled Onions",,Punjabi Dal Tadka,Kadhai Paneer,Chicken Changezi,"Papad, Pickle, Gud",Jeera Rice,Parantha,Nawabi Sewaiyan,,Murmure chaat,Sweet Red/ Green Chutney,Masala Tea,Hot & Cold Milk,Sweet Lassi,Chana Chat,Aloo Nutri,,Dal Bukhara,"Papad, Pickle, Gud", Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
29,08-07-2023,50,78,69,64,Cornflakes,banana,Sprouts,Aloo Pyaaz Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Onion Rings,,Dal Fry,Paneer Angara,Pahaadi Chicken,"Papad, Pickle, Gud",Jeera Rice,Tandoori roti,Popsicles,,Creamy White sauce pasta,Tomato Ketchup,Rooh Afza in Milk,Hot & Cold Milk,Lemonade,Three Beans Salad,Aloo beans matar,,Arhar Dal,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
30,09-07-2023,49,65,43,66,Chocos ,,boiled egg,,,Coffee Powder/Butter/Jam,Brown Bread,,Cold and Hot Milk,Masala Chaach,Green salad,Ghiya kofta,,,,Papad/Pickle/jaggery,Rice,Plain roti,,,Pav bhaji,Tomato ketchup,,,Mango tang,Onion rings,,,,Papad/Pickle/jaggery,Plain Rice,Roti,,Banana,Gobhi-Aloo Parantha,Curd,Adrak Elaichi Masala Tea,Tawa veg,Daal Makhani,,Hot and Cold Milk,Lemon Ice Tea,Arhar Daal,,,,,,,,,,,,
31,13-07-2023,49,69,55,78,Chocos,Watermelon,chana chat,Gobhi Aloo Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemon tang,Green Salad,Mix veg,Rajma raseela,,,"Papad, Pickle, Gud", Rice,Roti,,,hara bhara kabab,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Cream Tomato Soup,Sauteed assorted Veg,Red Sauce Pasta,,Cajun Potatoes in White Sauce,"Oregano, Chili Flakes",Fried Rice,Cheese Garlic Bread,Pastry,,,,,,,,,,,,,,,,,,,,,,
32,14-07-2023,42,73,41,36,Cornflakes,Apple,boiled egg,masala dosa,Coconut Chutney/ Sambhar,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Kesar Lassi,"Tomatoes, Pickled Onions",,Punjabi Dal Tadka,Matar paneer,Chicken Lababdar,"Papad, Pickle, Gud",Jeera Rice,Tandoori roti,Rasgulla,,homestyle macaroni,Sweet Red/ Green Chutney,Masala Tea,Hot & Cold Milk,Sweet Lassi,Chana Chat,Nutri masala,,green moong dal,"Papad, Pickle, Gud", Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
33,15-07-2023,57,41,52,47,Chocos,Watermelon,sprouts,Alu onion Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemonade,Kimchi Salad,Honey Chili Potato,Gravy Manchurian,,,,Fried rice,Hakka Noodles,,,bread pakora,"Oregano, Chili Flakes, Ketchup",Lemon Iced Tea,Hot & Cold Milk,Mango tang,Green Salad,Stuffed capsicum,,Dal Fry,"Papad, Pickle, Gud",Jeera Rice,Laccha Paratha,phirni,,,,,,,,,,,,,,,,,,,,,,
34,16-07-2023,47,32,47,50,Wheatflakess,Mango,Omelette,Chhole Bhature,Pickle/Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Orange tang,Green Salad,Achaari Aloo,Kadhi Pakoda,,,"Papad, Pickle, Gud",Plain Rice,Plain Roti,Ice cream,,Murmure chaat,Green / Red sweet chutney,Roohafza ,Hot & Cold Milk,Lemonade,Green salad,baigan bharta,,White chana Masala,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
35,17-07-2023,55,69,35,54,Cornflakes,,Boiled Eggs,,,Coffee Powder/Butter/Jam,Brown Bread,,Cold and Hot Milk,veg raita,Onion Rings,Khatta mittha kaddu,, Paneer biryani, chicken  biryani,Papad/Pickle,,roti,Semiya kheer, ,Chilli nutri,Tomato Ketchup,,,Lemonade,Three Bean Salad,,,,Papad/Pickle,Plain Rice,Roti,,Banana,Mix Parantha,Curd,Adrak Elaichi Masala Tea, , moong masur daal,Gud,Hot and Cold Milk,Adrak Elaichi Masala Tea,chana dal, ,,,,,,,,,,,
36,18-07-2023,53,62,44,46,chocos,,veg dalia,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and cold Milk,lemonade,Sprouts,Kathal masala,,,,Fried Papad, Lemon Rice,vada,Sweet pongal, ,chilli garlic noodles,tomato ketchup,,,Mango tang,Green salad,,,,Papad/Pickle,Plain Rice,Roti, ,Papaya,Besan chilla ,chutney,Adrak Elaichi Masala Tea,Idli,Sambhar/Coconut Chutney,,Shikanji,Adrak Elaichi Masala Tea,Rajma,Gud,,,,,,,,,,,
37,19-07-2023,50,85,56,76,Corn Flakes,,boiled egg,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and Cold Milk,Mango tang,Green Salad,ghiya chana dal,, paneer pasanda,Kadhai chicken, , Rice,tandoori roti,Gulab jamun, ,Samosa ,Red & green chutney,,,Sweet lassi,Pickled onions,,Kabuli Chana Gravy,,, Rice,Roti ,,Muskmelon,Onion alu parantha,curd,Adrak Elaichi Masala Tea,,black masur dal,,Hot and Cold Milk,Adrak Elaichi Masala Tea,,Gud,,,,,,,,,,,
38,20-07-2023,48,76,51,57,Chocos ,,chana chaat,,,Coffee Powder/Butter/Jam,Brown Bread,,Cold and Hot Milk,Masala Chhaach,South indian style green moong sprouts,Red Sauce Pasta,,,,Fried Papad,Rice,Plain roti,, ,Bhelpuri chaat,Red & green chutney,,,Cream tomato soup,Sauteed Assorted Vegetables,,,,Oregano & Chilli Flakes,fried Rice,cheese garlic bread, pastry,papaya,Veg vermicelli,green chutney,Adrak Elaichi Masala Tea,Mix veg,dal makhni,,Thandai,Adrak Elaichi Masala Tea,Cajun potatoes in white sauce,Gud,,,,,,,,,,,
39,21-07-2023,62,76,50,40,Wheat Flakes,,Omellete,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and Cold Milk,Sweet lassi,Green Salad,Green moong dal,,paneer lababdar,Chicken Rara,Papad/Pickle,tandoori garlic naan,Rice,Fruit Custard, ,Aloo pyaaz kachori,Green/Red chutney,,,Mix raita,Onion Rings,,,,Papad/Pickle,Veg Pulao homestyle,Roti, ,banana,"Induri alu,poha",green chutney,Adrak Elaichi Masala Tea, ,chana dal tadka,,Hot and Cold Milk,Adrak Elaichi Masala Tea,Dam alu,Gud,,,,,,,,,,,
40,22-07-2023,44,59,35,50,Chocos,,Sprouts,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and Cold Milk,Orange tang,Onion Rings,urad chilka dal,,,,Fried Papad/Pickle,Rice,Roti, , ,Corn sandwich,Tomato Ketchup,,,Orange tang,Green Salad,,,,Papad/Pickle,plain rice,Roti,phirni,papaya,Uttapam,"Sambhaar, Coconut chutney",Adrak Elaichi Masala Tea,Matar mushroom,Dal panchratni,Gud,Lemon Icetea,Adrak Elaichi Masala Tea,Alu beans, ,,,,,,,,,,,
41,23-07-2023,60,59,44,36,Chocos,,Omelette,,,Coffee Powder/Butter/Jam,Brown Bread,,Hot and cold Milk,Raita,Pickled onion,Alu nutri,,,,Papad/Pickle,Veg Biryani,Roti,ice cream, ,Mix Pakoda,Ketchup,,,lemonade,Ring Onions,,Dal Punjabi,,,Papad/Pickle, Rice,Roti,Muskmelon,chana,puri,Adrak Elaichi Masala Tea,Alu matar,black chana,,Orange Tang,Adrak Elaichi Masala Tea,,Gud,,,,,,,,,,,
42,24-07-2023,46,79,47,52,Wheatflakes,Banana,Omelette,"Aloo Poha, Indori Sev",Red & Green Chutney,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Sweet Lassi,Onion Rings,,Dal Fry,Paneer do pyaza, Chicken rogan josh,"Papad, Pickle, Gud",Jeera Rice,Tandoori roti,Ice cream,,Corn sandwich,Tomato Ketchup,Masala Tea,Hot & Cold Milk,Lemonade,Three Beans Salad,Alu beans,,Mix Dal,"Papad, Pickle, Gud",Plain Rice,Roti,,,,,,,,,,,,,,,,,,,,,,,
43,25-07-2023,43,66,38,41,Cornflakes,Papaya,BOILED EGGS,Aloo Pyaaz Paratha,Curd & Pickle,Coffee Powder/ Butter/ Jam,Brown Bread,Masala Tea,Hot & Cold Milk,Lemonade,Green Salad,Chole masala,Aloo bhaji,,,"Papad, Pickle, Gud",Rice,Puri,Phirni,,Samosa,ketchup,Masala tea,Hot & Cold Milk,mango tang,Green Salad,Mixed Vegetables,,rajma rasila,"Papad, Pickle, Gud",Plain Rice,roti,,,,,,,,,,,,,,,,,,,,,,,
